Brand,Image,Link,Price,Condition,Mileage,Engine,Transmission,Body Type,Location
Toyota,https://www.oto.my/upload/image/2024/07/25/235886/s4-148258153.jpg,/car-for-sale/235886/used-2020-toyota-yaris-e-johor/,"RM 68,800",Used,"15,000 - 19,999 km",1.5L,Automatic,Hatchback,Johor
Toyota,https://www.oto.my/upload/image/2024/07/25/235870/s4-148977167.jpg,/car-for-sale/235870/used-2017-toyota-vios-sport-edition-selangor/,"RM 62,800",Used,"85,000 - 89,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/24/235858/s4-148324954.jpg,/car-for-sale/235858/used-2021-toyota-corolla-cross-v-pulau-pinang/,"RM 111,800",Used,"25,000 - 29,999 km",1.8L,Automatic,SUV,Pulau Pinang
Toyota,https://www.oto.my/upload/image/2024/07/24/235855/s4-146995608.jpg,/car-for-sale/235855/used-2020-toyota-alphard-dba-agh30w-selangor/,"RM 208,800",Used,"30,000 - 34,999 km",2.5L,Automatic,MPV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/24/235851/s4-148367188.jpg,/car-for-sale/235851/used-2019-toyota-vios-g-selangor/,"RM 71,800",Used,"50,000 - 54,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/23/235829/s4-147431567.jpg,/car-for-sale/235829/used-2021-toyota-hilux-e-selangor/,"RM 97,800",Used,"50,000 - 54,999 km",2.4L,Automatic,Pickup,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/23/235823/s4-148065818.jpg,/car-for-sale/235823/used-2021-toyota-corolla-cross-v-selangor/,"RM 119,800",Used,"40,000 - 44,999 km",1.8L,Automatic,SUV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/22/235810/s4-148028812.jpg,/car-for-sale/235810/used-2021-toyota-yaris-g-pulau-pinang/,"RM 77,800",Used,"55,000 - 59,999 km",1.5L,Automatic,Hatchback,Pulau Pinang
Toyota,https://www.oto.my/upload/image/2024/07/22/235806/s4-147246110.jpg,/car-for-sale/235806/used-2023-toyota-corolla-cross-g-selangor/,"RM 119,800",Used,"5,000 - 9,999 km",1.8L,Automatic,SUV,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/20/235781/s4-147428989.jpg,/car-for-sale/235781/used-2022-toyota-vios-g-selangor/,"RM 83,800",Used,"35,000 - 39,999 km",1.5L,Automatic,Sedan,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/19/235763/s4-147402008.jpg,/car-for-sale/235763/used-2020-toyota-yaris-g-negeri-sembilan/,"RM 76,800",Used,"40,000 - 44,999 km",1.5L,Automatic,Hatchback,Negeri Sembilan
Toyota,https://www.oto.my/upload/image/2024/07/18/235737/s4-147121445.jpg,/car-for-sale/235737/used-2021-toyota-yaris-g-selangor/,"RM 75,800",Used,"55,000 - 59,999 km",1.5L,Automatic,Hatchback,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/17/235720/s4-145631882.jpg,/car-for-sale/235720/used-2019-toyota-yaris-j-johor/,"RM 62,800",Used,"35,000 - 39,999 km",1.5L,Automatic,Hatchback,Johor
Toyota,https://www.oto.my/upload/image/2024/07/17/235707/s4-146150996.jpg,/car-for-sale/235707/used-2021-toyota-yaris-g-pulau-pinang/,"RM 79,800",Used,"20,000 - 24,999 km",1.5L,Automatic,Hatchback,Pulau Pinang
Toyota,https://www.oto.my/upload/image/2024/07/17/235703/s4-146133252.jpg,/car-for-sale/235703/used-2022-toyota-yaris-g-selangor/,"RM 80,800",Used,"10,000 - 14,999 km",1.5L,Automatic,Hatchback,Selangor
Toyota,https://www.oto.my/upload/image/2024/07/17/235702/s4-145653332.jpg,/car-for-sale/235702/used-2021-toyota-corolla-cross-g-selangor/,"RM 108,800",Used,"40,000 - 44,999 km",1.8L,Automatic,SUV,Selangor
